title,author,length
The Shift,By: Tinx,Length: 5 hrs and 17 mins
Identity,By: Nora Roberts,Length: 15 hrs and 4 mins
Waybound,By: Will Wight,Length: 16 hrs and 13 mins
The Running Grave,By: Robert Galbraith,Length: 27 hrs
Aster Fall,By: David North,Length: 20 hrs and 22 mins
Clue Krewe,By: Jana DeLeon,Length: 10 hrs and 1 min
Shattersoul,By: Kyle Kirrin,Length: 20 hrs and 15 mins
Elon Musk,By: Walter Isaacson,Length: 22 hrs
The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
Under the Stars,By: Laura Pavlov,Length: 9 hrs and 14 mins
Ward D,By: Freida McFadden,Length: 7 hrs and 20 mins
The Lion: Son of the Forest,By: Mike Brooks,Length: 12 hrs and 15 mins
The Gift,By: Sebastian Fitzek,Length: 7 hrs and 8 mins
The Alien Anomaly,By: Amanda M. Lee,Length: 8 hrs and 52 mins
Terms and Conditions,By: Lauren Asher,Length: 13 hrs and 12 mins
Homeworld Lost,"By: J.N. Chaney, Scott Moon",Length: 11 hrs and 30 mins
Special Kind of Twisted,By: Lani Lynn Vale,Length: 6 hrs and 15 mins
Manhood,By: Josh Hawley,Length: 6 hrs and 58 mins
Azarinth Healer: Book Two,By: Rhaegar,Length: 19 hrs and 22 mins
The Ritual,By: Shantel Tessier,Length: 16 hrs and 46 mins
